LfNr;Datum;Zeit;WoTag;Straﬂenklasse;Straﬂennummer;Gemeinde;Strasse;Tˆdlich verletzt;Schwer verletzt;Leicht verletzt;Anzahl Beteiligte;VU-Art;Charakteristik1 VU-Stelle;Charakteristik2 VU-Stelle;Besonderheit1 VU-Stelle;Besonderheit2 VU-Stelle;Besonderheit3 VU-Stelle;LZA;VU-Kategorie;VU-Typ;Unter-Typ;VU-Ursache Verursacher;2.VU-Ursache Verursacher;VU-Ursache 2. Beteiligter;2.VU-Ursache 2. Beteiligter;Allgmeine Ursache Verursacher;Verkehrsbeteiligung Verursacher;Verkehrsbeteiligung 2. Beteiligter;Jahr;Monat;Tag;Lichtverh‰ltnisse;Straﬂenzustand;Verursacher;Bet_02;Unfall-Typ;Fahrtrichtung;Koord.x;Koord.y
1; 04.01.2021; 06:05; Mo;3;828; Oldenburg (Oldb); Edewechter Landstraﬂe;0;0;1;2;5;2;;0;9;;;3;3;341;28;;;;;21;71;2021;1;4; du; na; PKW; RF; EK; aufsteigend;8,134932;53,126958
2; 04.01.2021; 11:55; Mo;5;; Oldenburg (Oldb); Dwaschweg;0;0;1;2;5;2;;;;;;3;3;342;28;;;;;21;72;2021;1;4; he; na; PKW; RF; EK; aufsteigend;8,242545;53,08837
3; 04.01.2021; 12:00; Mo;5;; Oldenburg (Oldb); Brookweg;0;0;1;2;5;2;;9;;;;3;3;342;28;;10;;;21;71;2021;1;4; he; na; PKW; RF; EK; aufsteigend;8,192593;53,171518
4; 04.01.2021; 16:30; Mo;5;; Oldenburg (Oldb); Bardieksweg;0;0;0;2;1;3;;;;;;5;5;501;49;;;;;72;21;2021;1;4; d‰; na; RF; PKW; RV;;8,20306;53,186051
5; 05.01.2021; 07:50; Di;5;; Oldenburg (Oldb); August-Wilhelm-K¸hnholz-Straﬂe;0;0;1;2;3;;;;;;;3;5;581;45;;;;;21;71;2021;1;5; du; na; PKW; RF; RV; aufsteigend;8,25336;53,106207
6; 05.01.2021; 08:30; Di;5;; Oldenburg (Oldb); Katharinenstraﬂe;0;0;1;2;4;1;;;;;8;3;2;224;35;;;;;21;71;2021;1;5; he; na; PKW; RF; AB; absteigend;8,208823;53,143266
7; 06.01.2021; 11:30; Mi;5;; Oldenburg (Oldb); Theodor-Pekol-Straﬂe;0;0;1;2;5;2;;0;9;;8;3;3;341;28;;;;;21;71;2021;1;6; he; na; PKW; RF; EK; absteigend;8,197065;53,169538
8; 06.01.2021; 16:40; Mi;3;866; Oldenburg (Oldb); Stedinger Straﬂe;0;0;1;2;5;2;;0;9;;;3;2;243;34;;;;;21;71;2021;1;6; du; na; PKW; RF; AB; absteigend;8,230461;53,136189
9; 07.01.2021; 07:40; Do;3;865; Oldenburg (Oldb); Am Stadtmuseum;0;0;0;2;5;1;;8;;;8;5;3;301;31;;31;;;71;21;2021;1;7; du; na; RF; PKW; EK; aufsteigend;8,214334;53,143411
10; 09.01.2021; 13:00; Sa;5;; Oldenburg (Oldb); Uhlhornsweg;0;0;1;2;6;;;9;;;;3;6;671;64;;42;;;81;71;2021;1;9; he; tr; FG; RF; LV; absteigend;8,178127;53,144645
